time: 14.15.36 | mod sgsrocks: oo

time: 14.15.37 | mod sgsrocks: lol 

time: 14.15.38 | mod sgsrocks: xd 

time: 14.30.13 | mod sgsrocks: xd 

time: 14.31.51 | Mod Sgsrocks: um 

time: 14.31.53 | Mod Sgsrocks: lol 

time: 14.39.6 | Mod Sgsrocks: fuck 

time: 14.39.7 | Mod Sgsrocks: lol 

time: 14.39.8 | Mod Sgsrocks: xd 

time: 15.22.43 | mod sgsrocks: um 

time: 15.23.10 | mod sgsrocks: there 

time: 15.23.11 | mod sgsrocks: lol 

time: 15.38.14 | mod sgsrocks: o ya the hair colors

time: 15.38.14 | mod sgsrocks: lol 

time: 16.10.22 | mod sgsrocks: o fuck 

time: 16.10.23 | mod sgsrocks: lol 

time: 16.20.25 | mod sgsrocks: add model 509 

time: 16.20.29 | mod sgsrocks: add model 2529 

time: 16.24.47 | mod sgsrocks: there they go 

time: 16.24.48 | mod sgsrocks: xd 

time: 16.29.47 | mod sgsrocks: lol 

time: 16.35.34 | mod sgsrocks: lol 

time: 16.37.22 | mod sgsrocks: :p

time: 16.38.23 | mod sgsrocks: lol 

time: 20.38.3 | mod sgsrocks: see you granding 

time: 20.38.8 | mod sgsrocks: :p

time: 20.38.46 | mod sgsrocks: next 

time: 20.38.48 | mod sgsrocks: huh 

time: 20.38.49 | mod sgsrocks: xd 

time: 20.57.51 | mod sgsrocks: oo

time: 20.57.52 | mod sgsrocks: lol 

time: 20.35.12 | mod sgsrocks: lol 

time: 20.35.14 | mod sgsrocks: xd 

time: 20.35.37 | mod sgsrocks: really 

time: 20.35.38 | mod sgsrocks: ?

time: 20.35.39 | mod sgsrocks: lol 

time: 20.35.39 | mod sgsrocks: xed

time: 20.36.59 | mod sgsrocks: now its working great xd

time: 20.37.5 | mod sgsrocks: item list object list 

time: 22.36.58 | mod sgsrocks: oks

time: 22.36.59 | mod sgsrocks: lol 

time: 22.37.0 | mod sgsrocks: xd 

time: 22.37.2 | mod sgsrocks: lol 

time: 22.37.3 | mod sgsrocks: a q p 

time: 22.37.5 | mod sgsrocks:       w

time: 22.37.7 | mod sgsrocks: lol 

time: 22.37.10 | mod sgsrocks: a q p 

time: 22.37.12 | mod sgsrocks:      w 

time: 22.37.13 | mod sgsrocks: txd

time: 22.37.14 | mod sgsrocks: xd 

time: 22.37.16 | mod sgsrocks: fuck you

time: 22.37.17 | mod sgsrocks: bitch 

time: 22.37.18 | mod sgsrocks: nigga 

time: 22.37.22 | mod sgsrocks: smelly kerry

time: 22.37.22 | mod sgsrocks: lol 

time: 22.37.47 | mod sgsrocks: lol 

time: 22.37.54 | mod sgsrocks: getting closer 

time: 22.38.11 | mod sgsrocks: hey youtube

time: 22.38.26 | mod sgsrocks: hey youtube

time: 22.38.29 | mod sgsrocks: its mod sgsrocks

time: 22.38.32 | mod sgsrocks: back on godzhell 

time: 22.38.39 | mod sgsrocks: or project godzhell

time: 22.38.48 | mod sgsrocks: alot of stuff has been added to the client 

time: 22.39.0 | mod sgsrocks: hope we can bring you 2009-2010 old godzhell 

time: 22.39.5 | mod sgsrocks: with working trading and glitch pk 

time: 22.39.12 | mod sgsrocks: this is a w.ip 

time: 22.39.14 | mod sgsrocks: wip 

time: 22.39.18 | mod sgsrocks: a q p 

time: 22.39.20 | mod sgsrocks:       w

time: 22.39.20 | mod sgsrocks: xd 

time: 22.39.21 | mod sgsrocks: fuc 

time: 22.39.23 | mod sgsrocks: lol 

time: 22.39.38 | mod sgsrocks: this is how it should be

time: 22.39.43 | mod sgsrocks: it has java 9 fix's 

time: 22.39.47 | mod sgsrocks: and some stuff 

time: 22.40.0 | mod sgsrocks: its like 85% like old godzhell 

time: 22.40.6 | mod sgsrocks: just need more stuff added

time: 22.40.14 | mod sgsrocks: might add a random item geneterater

time: 22.40.19 | mod sgsrocks: for rare items

time: 22.40.29 | mod sgsrocks: or i might make it better then before

time: 22.40.34 | mod sgsrocks: just have to wait and see :p 

time: 22.40.42 | mod sgsrocks: hope u guys like this :p

time: 23.17.4 | mod sgsrocks: ok tf 

time: 23.17.5 | mod sgsrocks: lpl

time: 23.17.6 | mod sgsrocks: xd 

time: 23.17.7 | mod sgsrocks: lol 

time: 23.17.9 | mod sgsrocks: shit

time: 23.17.12 | mod sgsrocks: this is not good lol 

time: 23.19.20 | mod sgsrocks: ok 

time: 23.19.24 | mod sgsrocks: i need to fix that lol

time: 23.20.26 | mod sgsrocks: tf 

time: 23.20.31 | mod sgsrocks: ok 

time: 23.20.35 | mod sgsrocks: this is not good 

time: 23.24.26 | mod sgsrocks: ok tf 

